,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
0,Biryani By Kilo,"Biryani,Mughlai,Kebabs,Hyderabadi,North Indian,Lucknowi,Desserts,Beverages",4.1,600,Khare Town,Dharampeth,"Commercial First Floor, F1 & F2 INDU YASH II, 186, Dharampeth Extn, Ramnagar Square, Nagpur",False,21.1409684,79.0624344
1,Haldirams Sweets & Namkeen,"Sweets,Bakery,Beverages",4.6,300,Sitabuldi,SITABULDI,"ABHYANKAR ROAD, SITABULDI,NAGPUR",False,21.1414478,79.0824843
2,Pind Punjabi,"North Indian,Chinese",3.3,200,Loha Pul,"Loha Pul, Pind","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",True,,
3,Behrouz Biryani,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,North Indian,Persian,Desserts",3.9,500,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,,
4,Jay Ambika Bhojnalay,"North Indian,Indian",4.0,300,Ganeshpeth Colony,Gandhibagh,Shop no13 opp. Rahul hotel Ganeshpeth bus stand,True,21.1543273,79.1058527
5,Foody Moody Thali,"Indian,Thalis,Chinese,Biryani,North Indian,Punjabi,Desserts",3.4,200,Loha Pul,"Loha Pul, Foody","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
6,Subway,"Healthy Food,Salads,Snacks,Desserts,Beverages",4.1,350,Khare Town,Dharampeth,"G2, Indu Yash Complex, Cement Road, Ramnagar, Near, Dharampeth, Nagpur",False,21.1409684,79.0624344
7,KFC,"American,Snacks,Biryani",3.9,400,Sitabuldi,"Ground Floor, Eternity Mall, Variety Square","G1, G2, Ground Floor, Eternity Mall, Variety Square, Sitaburdi, Nagpur, Maharashtra 440010",False,,
8,McDonald's,"Burgers,Beverages,Cafe,Desserts",4.1,400,Medical Square,Trillum Mall,"Restaurant no 3, 3rd Floor, Trillum mall, Ram Bag Layout, Untkhana Road, Nagpur, 440003",False,,
9,Babbu Hotel,"Biryani,Mughlai,North Indian,Beverages",3.7,300,Mominpura,Gandhibagh,"Near Bakra Mandi, Mominpura Chowk, Mominpura, Nagpur",False,21.1543273,79.1058527
10,Biryani Story,"Biryani,Indian,North Indian,Mughlai,Punjabi",2.8,200,Loha Pul,"Loha Pul, Biryani Story","Shree Ganesh Bhojnalay, Manas Chowk, Sahu Colony, Sitabuldi, Nagpur, Maharashtra",False,,
